Date,Clicks,Impressions,CTR,Position
2026-02-08,11,83,13.25%,7.3
2026-02-09,9,98,9.18%,9.1
2026-02-10,6,106,5.66%,13.1
2026-02-11,2,205,0.98%,13
2026-02-12,2,136,1.47%,11.8
2026-02-13,8,117,6.84%,9.8
2026-02-14,4,188,2.13%,8.6
2026-02-15,5,162,3.09%,8.8
2026-02-16,2,158,1.27%,12.5
2026-02-17,6,230,2.61%,11.3
2026-02-18,3,199,1.51%,10.8
2026-02-19,2,242,0.83%,9.9
2026-02-20,4,264,1.52%,6.1
2026-02-21,3,286,1.05%,7.8
2026-02-22,7,285,2.46%,8.1
2026-02-23,9,376,2.39%,10.4
2026-02-24,6,433,1.39%,10.9
2026-02-25,6,428,1.4%,11.9
2026-02-26,9,470,1.91%,10.8
2026-02-27,7,546,1.28%,8.8
2026-02-28,12,483,2.48%,8.2
2026-03-01,14,454,3.08%,10.3