Country,Clicks,Impressions,CTR,Position
Germany,132,5481,2.41%,9.74
Netherlands,2,23,8.7%,6.35
Switzerland,1,45,2.22%,16.6
Austria,1,42,2.38%,18.29
Belgium,1,2,50%,7.5
United States,0,146,0%,5.68
Italy,0,22,0%,6.59
France,0,13,0%,13.38
India,0,13,0%,19.31
Spain,0,12,0%,7.08
Canada,0,10,0%,6.8
Indonesia,0,9,0%,15.44
Poland,0,8,0%,5.25
United Kingdom,0,8,0%,7
Vietnam,0,6,0%,5.83
Philippines,0,6,0%,35
Brazil,0,5,0%,5.8
Finland,0,5,0%,13.8
Sweden,0,4,0%,1.75
Portugal,0,4,0%,4.5
Peru,0,4,0%,11.75
Argentina,0,4,0%,13.25
Luxembourg,0,4,0%,23.75
Bangladesh,0,4,0%,25.5
Algeria,0,4,0%,32.5
South Korea,0,4,0%,38.5
South Africa,0,3,0%,1
Turkey,0,3,0%,2.67
Hungary,0,3,0%,6
Thailand,0,3,0%,6.33
Egypt,0,3,0%,28.67
Colombia,0,3,0%,31.33
Ecuador,0,3,0%,46.33
Ethiopia,0,2,0%,2
United Arab Emirates,0,2,0%,2.5
Denmark,0,2,0%,2.5
Romania,0,2,0%,5
Norway,0,2,0%,7.5
Liechtenstein,0,2,0%,9
Australia,0,2,0%,17.5
Serbia,0,2,0%,24
Mexico,0,2,0%,25.5
Pakistan,0,2,0%,48
Bahamas,0,1,0%,2
Tunisia,0,1,0%,2
Ukraine,0,1,0%,3
Czechia,0,1,0%,5
Uzbekistan,0,1,0%,5
Bulgaria,0,1,0%,7
Dominican Republic,0,1,0%,8
Costa Rica,0,1,0%,10
Macedonia,0,1,0%,10
Panama,0,1,0%,10
Israel,0,1,0%,11
China,0,1,0%,12
Puerto Rico,0,1,0%,12
Venezuela,0,1,0%,18
Iraq,0,1,0%,25
Morocco,0,1,0%,30
Congo - Kinshasa,0,1,0%,31
Bhutan,0,1,0%,61
Chile,0,1,0%,87
Saudi Arabia,0,1,0%,87