"Google Germany (Starnberg, Bavaria, Germany), Sprache der Benutzeroberfläche: Deutsch"
Keyword,URL,"Content Score",Suchvolumen,"Website SERP Features","Gefundene SERP Features",Klicks,2026-02-24,Dynamiken,URL,2026-02-25,Dynamiken,URL
"Sonnenhof Herrsching",,-,110,"Bewertungen, Sitelinks, Bilder, GBP","Bewertungen, Sitelinks, Ähnliche Fragen (People Also Ask), Bilder, GBP",15,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"Sonnenhof Ammersee",,-,20,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof herrsching,10",,-,0,"Bewertungen, Bilder, GBP, AI Overview","Bewertungen, Bilder, Bottom-Anzeigen, GBP, AI Overview","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching,110",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching am ammersee,10",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ammersee hotel sonnenhof,20",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof,170",,-,0,"Lokales Paket","Lokales Paket, Bewertungen, Video, Bilder, Ergebnisse finden für","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"pension herrsching,90",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"Pension Herrsching",,-,90,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für",0,2,0,https://www.sonnenhof-herrsching.de/,2,0,https://www.sonnenhof-herrsching.de/
"ammersee zimmer,90",,-,0,"AI Overview","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",45,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,2,43,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"ferienwohnung in herrsching,40",,78,0,,"Bewertungen, Top-Anzeigen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",6,0,https://www.sonnenhof-herrsching.de/,2,4,https://www.sonnenhof-herrsching.de/
"Pension Ammersee Hund erlaubt",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",3,0,https://www.sonnenhof-herrsching.de/,3,0,https://www.sonnenhof-herrsching.de/
"fewo herrsching,40",,81,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",3,0,https://www.sonnenhof-herrsching.de/,3,0,https://www.sonnenhof-herrsching.de/
"Unterkunft Fünfseenland",,-,40,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",6,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,4,2,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"Hundefreundliche Unterkunft Ammersee",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",78,0,https://www.sonnenhof-herrsching.de/,4,74,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-ammersee-mit-hund
"Familienurlaub Ammersee Unterkunft",,66,0,,"Bewertungen, Video, Hotel-Paket, Ergebnisse ansehen für, Ergebnisse finden für","Keine Daten in GSC",-,0,https://www.sonnenhof-herrsching.de/blog/familienurlaub-ammersee,4,96,https://www.sonnenhof-herrsching.de/blog/familienurlaub-ammersee
"Ferienwohnung Ammersee Kinder",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",3,0,https://www.sonnenhof-herrsching.de/blog/familienurlaub-ammersee,4,-1,https://www.sonnenhof-herrsching.de/blog/familienurlaub-ammersee
"Zimmer Herrsching",,-,40,,"Bewertungen, Video, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",4,0,https://www.sonnenhof-herrsching.de/,5,-1,https://www.sonnenhof-herrsching.de/
"Pension Fünfseenland",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",3,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,5,-2,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"Ferienwohnung Ammersee mit Hund",,67,390,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für",0,4,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-ammersee-mit-hund,6,-2,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-ammersee-mit-hund
"pension herrsching am ammersee,140",,-,0,Bilder,"Bewertungen, Bilder, Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",2,0,https://www.sonnenhof-herrsching.de/,6,-4,https://www.sonnenhof-herrsching.de/
"fewo ammersee herrsching,50",,75,0,Bilder,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",8,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,7,1,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"Ferienwohnung Herrsching",,-,390,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",3,7,0,https://www.sonnenhof-herrsching.de/,10,-3,https://www.sonnenhof-herrsching.de/
"Ferienwohnung Ammersee Familie",,-,0,,"Bewertungen, Video, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",9,0,https://www.sonnenhof-herrsching.de/,10,-1,https://www.sonnenhof-herrsching.de/
"ferienwohnung herrsching am ammersee,320",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",18,0,https://www.sonnenhof-herrsching.de/,12,6,https://www.sonnenhof-herrsching.de/
"ferienwohnungen herrsching,390",,-,0,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",10,0,https://www.sonnenhof-herrsching.de/,13,-3,https://www.sonnenhof-herrsching.de/
"Ferienwohnung Ammersee Baden",,-,0,,"Lokales Paket, Bewertungen, Ergebnisse finden für","Keine Daten in GSC",15,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,14,1,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"herrsching am ammersee ferienwohnung,320",,-,0,"Lokales Paket","Lokales Paket, Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Bottom-Anzeigen, Ergebnisse finden für","Keine Daten in GSC",17,0,https://www.sonnenhof-herrsching.de/,14,3,https://www.sonnenhof-herrsching.de/
"pension ammersee günstig,140",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",19,0,https://www.sonnenhof-herrsching.de/,14,5,https://www.sonnenhof-herrsching.de/
"ferienwohnungen herrsching am ammersee,320",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",15,0,https://www.sonnenhof-herrsching.de/,16,-1,https://www.sonnenhof-herrsching.de/
"ferienwohnung herrsching,390",,78,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",8,0,https://www.sonnenhof-herrsching.de/,17,-9,https://www.sonnenhof-herrsching.de/
"Übernachtung Ammersee Radtour",,59,0,,"Bewertungen, Video, Bottom-Anzeigen, AI Overview","Keine Daten in GSC",33,0,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee,19,14,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee
"Ferienwohnung Ammersee",,-,70,,"Bewertungen, Video, Bilder, Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für",0,26,0,https://www.sonnenhof-herrsching.de/,26,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung ammersee herrsching,320",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",26,0,https://www.sonnenhof-herrsching.de/,26,0,https://www.sonnenhof-herrsching.de/
"Unterkunft Ammersee",,-,10,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",41,0,https://www.sonnenhof-herrsching.de/,39,2,https://www.sonnenhof-herrsching.de/
"ammersee ferienwohnung mit frühstück,30",,-,0,,"Lokales Paket, Bewertungen, Ergebnisse finden für","Keine Daten in GSC",-,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,42,58,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"Übernachtung Ammersee",,-,480,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für",0,42,0,https://www.sonnenhof-herrsching.de/,47,-5,https://www.sonnenhof-herrsching.de/
"Keyword,Search Volume",,-,0,,"Bewertungen, Video, Bilder","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung München Umgebung",,-,110,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft nähe München",,-,140,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Pension München Umgebung",,-,260,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Übernachtung München Umland",,-,0,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Starnberger See",,-,10,,"Lokales Paket, Bewertungen, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft nähe Allianz Arena",,-,70,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Übernachtung Allianz Arena Umgebung",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bottom-Anzeigen, GBP, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Pension nähe München Flughafen",,-,50,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft S8 München",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung nähe Andechs",,-,0,,"Bewertungen, Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft Kloster Andechs",,-,30,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Urlaub Ammersee günstig",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",86,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,-,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
"Günstige Pension Ammersee",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"herrsching ferienwohnung,390",,-,0,,"Lokales Paket, Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"hotel doppelzimmer,10",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",-,0,,-,0,
"hotel sonnenhof,18100",,-,0,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"pension sonnenhof,20",,-,0,,"Bewertungen, Video, Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"sonnenhof,10800",,-,0,,"Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
